parentGameId,variableId,variableName,category,scopeType,scopeLevel,isSubcategory,defaultValue
9do8w371,wlew43kl,Mode,xd111rrd,full-game,,false,
v1pxg3z6,wl3930vl,Platform,,global,,true,21g63wmq
v1pxg3z6,2lg5gre8,Skip,zd3je582,global,,true,klrdreoq
v1pxg3z6,2lg5gwo8,Difficult,,global,,true,xqkwg4nq
268we8k6,68kox23n,Board,,global,,false,
pdvzqek6,e8mr79ql,Console,,global,,true,5lmjz08l
pdvzqek6,7896vr08,Mode,,global,,true,klrwng21
o1y9mjr6,68k404ql,Patch,,global,,true,81po2pnq
k6q47pzd,jlzw937l,Category,9d8eplqd,global,,true,5lm679m1
k6q47pzd,9l77vezl,Ending,jdrl0jld,global,,true,21gd0vx1
yd4o2rw1,ylpe3168,Conquest Level,,global,,true,9qj02oel
yd4o2rw1,7896g238,Seed,,global,,true,0q5n4mmq
yd4o2rw1,p85dor5l,Version,,global,,true,klron20l
4d7neqg6,2lg1keel,Mobile Premium,8248gvwk,full-game,,true,4lxj2krq
4d7neqg6,wl3dvjv8,Mobile 100% Premium,9d8l4172,full-game,,true,z19wevkq
36982o3d,ql6e06jn,Difficulty,,global,,true,jq6609nq
36982o3d,onvvgown,Codes,,global,,true,zqo6p8gq
36982o3d,ylp6jdjn,Consoles or PC/Mac,,global,,true,rqv5pk51
76rxp3q6,jlzw9p0l,Category,,global,,true,21gd6jm1
3dx2gyv1,9l7x1j9n,Variation,mkel0qjd,global,,true,z1969x41
3dx2gyv1,yn2j1o08,Variation,5dw6l752,global,,true,xqk24o4q
3dx2gyv1,6njzqjpl,Variation,wk6e5vo2,global,,true,jqz85gkq
3dx2gyv1,kn0mzr3l,Variation,n2y9077d,global,,true,5q8j046l
3dx2gyv1,68ko4pyn,Variation,xd14yn7d,full-game,,true,5le9mp5q
3dx2gyv1,ql6140j8,Variation,7kj8e13d,full-game,,true,4qydy7dq
3dx2gyv1,onv72gwn,Variation,xk9e48v2,global,,true,mlnp0en1
3dx2gyv1,ylp7mjjl,Playstyle,,global,,false,
v1pxm746,789vv55n,Kart,,all-levels,,false,
3dxkj4y1,r8r7rp0n,Version,9kvq75jd,full-game,,true,rqv7m97q
46w2rz96,5ly10p9l,Version,,global,,false,1w4n2nvq
46w2rz96,789x5698,Players,,global,,true,81w983ml
o1yj99v1,j845pyyn,Star Count,9kvq9z0d,full-game,,true,zqo0d2xq
36984m0d,ylqq55wl,Seeded Category,9d85l9wd,global,,true,9qjpp7eq
36984m0d,gnxwoox8,Character,,global,,false,
36984m0d,6nj593vl,Solo/Co-Op,rkl0ny6k,global,,true,81w667ol
36984m0d,ql6eox7n,Solo/Co-Op,9kvrnze2,global,,true,013zzxdq
36984m0d,68k5gk38,Solo/Co-Op,xd1w5pz2,global,,true,5q8nn2gq
36984m0d,j84gqr28,AHR Ending,xd1w5pz2,global,,true,mlnggd01
36984m0d,j84gr958,Character Subcat,wdmm7zxd,global,,true,gq7y63dq
36984m0d,wlegwrxn,Solo/Co-Op,mkeppl62,global,,true,qzn0wpgq
lde353n6,onvj5kwn,Version,,global,,false,
j1lnkmj6,dloovyel,Completion,jdzj59xk,single-level,wj7ee3rw,true,ln8zz36l
j1lnkmj6,jlzpdw0n,Completion,jdzj59xk,single-level,wo722lv9,true,lmoggny1
j1lnkmj6,onv5k20l,Character,,global,,true,q75rr2v1
pdv2z546,6njzxjvl,Verified?,,global,,false,5leorv6q
kdkz4lxd,5lypvxkl,Act Runs Variables,xd1v4v7d,full-game,,true,21grrv8q
j1ne0xw1,kn0mjyol,DLC,,global,,false,
j1ne0xw1,ql617vk8,Hard Drive Type,,global,,false,
ldew95ld,wl3eeown,Version,,global,,true,q75g83v1
ldew95ld,wleyyjrn,Pre 1.5,,global,,true,
ldew95ld,ylpgg9jl,Upgrade,wkplmgv2,global,,true,1w47dz6q
ldew95ld,wleyym2n,Platform,,global,,false,1gn9438l
9d3rn00d,r8r1xe2n,Category (All Endings),wdm6v85k,full-game,,true,klrwo4j1
9d3rn00d,5lypdekl,Category (All Endings and Fails),z2714j42,full-game,,true,jqz7ze4l
9d3rn00d,yn25o0dn,Category (All Bios),wdm6303k,full-game,,true,4lxo4krl
